,Name,Location,Single Room,Twin Sharing,Triple Sharing,Four Sharing,Has AC,Nearest Metro,Metro Distance,Type
617,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
618,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
619,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
620,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
621,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
622,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
623,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
624,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
625,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
626,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
627,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
628,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
629,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
630,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
631,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
632,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
633,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
634,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
635,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
636,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
637,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
638,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
639,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
640,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
641,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
642,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
643,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
644,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
645,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
646,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
647,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
648,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
649,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
650,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
651,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
652,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
653,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
654,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
655,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
656,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
657,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
658,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
659,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
660,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
661,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
662,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
663,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
664,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
665,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
666,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
667,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
668,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
669,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
670,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
671,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
672,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
673,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
674,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
675,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
676,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
677,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
678,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
679,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
680,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
681,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
682,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
683,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
684,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
685,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
686,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
687,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
688,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
689,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
690,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
691,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
692,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
693,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
694,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
695,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
696,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
697,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
698,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
699,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
700,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
701,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
702,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
703,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
704,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
705,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
706,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
707,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
708,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
709,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
710,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
711,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
712,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
713,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
714,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
715,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
716,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
717,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
718,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
719,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
720,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
721,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
722,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
723,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
724,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
725,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
726,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
727,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
728,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
729,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
730,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
731,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
732,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
733,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
734,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
735,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
736,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
737,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
738,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
739,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
740,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
741,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
742,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
743,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
744,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
745,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
746,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
747,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
748,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
749,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
750,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
751,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
752,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
753,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
754,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
755,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
756,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
757,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
758,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
759,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
760,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
761,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
762,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
763,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
764,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
765,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
766,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
767,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
768,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
769,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
770,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
771,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
772,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
773,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
774,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
775,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
776,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
777,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
778,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
779,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
780,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
781,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
782,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
783,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
784,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
785,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
786,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
787,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
788,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
789,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
790,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
791,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
792,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
793,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
794,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
795,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
796,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
797,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
798,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
799,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
800,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
801,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
802,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
803,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
804,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
805,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
806,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
807,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
808,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
809,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
810,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
811,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
812,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
813,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
814,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
815,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
816,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
817,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
818,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
819,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
820,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
821,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
822,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
